"","Area","Year","Emissions.Energy (energy, manufacturing and construction industries and fugitive emissions)_7231","Emissions.Energy (energy, manufacturing and construction industries and fugitive emissions)_7194","Emissions.Energy (energy, manufacturing and construction industries and fugitive emissions)_7244","Emissions.Energy (energy, manufacturing and construction industries and fugitive emissions)_7243","Emissions.Energy (energy, manufacturing and construction industries and fugitive emissions)_7178","Emissions.Transport_7231","Emissions.Transport_7194","Emissions.Transport_7244","Emissions.Transport_7243","Emissions.Transport_7178","Emissions.Residential, commercial, institutional and AFF_7231","Emissions.Residential, commercial, institutional and AFF_7194","Emissions.Residential, commercial, institutional and AFF_7244","Emissions.Residential, commercial, institutional and AFF_7243","Emissions.Residential, commercial, institutional and AFF_7178","Emissions.Industrial processes and product use_7231","Emissions.Industrial processes and product use_7194","Emissions.Industrial processes and product use_7244","Emissions.Industrial processes and product use_7243","Emissions.Industrial processes and product use_7178","Emissions.Waste_7231","Emissions.Waste_7194","Emissions.Waste_7244","Emissions.Waste_7243","Emissions.Waste_7178","Emissions.Other sources_7231","Emissions.Other sources_7194","Emissions.Other sources_7244","Emissions.Other sources_7243","Emissions.Other sources_7178","Emissions.Agriculture total_7231","Emissions.Agriculture total_7194","Emissions.Agriculture total_7244","Emissions.Agriculture total_7243","Emissions.Agriculture total_7178","Emissions.Land use sources_7231","Emissions.Land use sources_7194","Emissions.Land use sources_7244","Emissions.Land use sources_7243","Emissions.Land use sources_7178","Emissions.Forest_7231","Emissions.Forest_7194","Emissions.Forest_7244","Emissions.Forest_7243","Emissions.Forest_7178","Emissions.Energy total_7231","Emissions.Energy total_7194","Emissions.Energy total_7244","Emissions.Energy total_7243","Emissions.Energy total_7178","Emissions.Land Use total_7231","Emissions.Land Use total_7194","Emissions.Land Use total_7244","Emissions.Land Use total_7243","Emissions.Land Use total_7178","CO2_7194","CH4_7244","N2O_7243","F_7178"
"1","Africa","Y1990",602075.7848,460225.5373,138650.7966,3199.4509,0,107165.3273,107023.9369,6.6945,134.6958,0,102367.4093,62695.3668,32259.3463,7412.6962,0,54363.7531,39595.4229,88.9109,8958.1628,5721.2566,77038.2295,0,69795.4247,7242.8048,0,34644.0549,0,NA,34644.0549,0,569252.9048,0,293975.591,275277.3138,0,1877154.567,1662078.451,176316.6777,38759.4387,0,-33893.0271,-33893.0271,0,0,0,811608.5214,629944.8411,170916.8374,10746.8429,0,1843262,1628185,176317,38759,0,2297725.6878,711093.4417,375628.6179,5721.2566
"383","Africa","Y1991",610116.2944,462863.3817,144033.3672,3219.5455,0,110440.1644,110310.1595,6.6436,123.3612,0,106754.5746,65215.1945,33792.7702,7746.61,0,55673.5832,41314.1883,83.6597,8911.558,5364.1772,79536.7817,0,72108.8421,7427.9396,0,25348.7996,0,NA,25348.7996,0,571132.4325,0,294993.9127,276138.5198,0,1877166.96,1662090.844,176316.6777,38759.4387,0,-33905.4204,-33905.4204,0,0,0,827311.0333,638388.7358,177832.781,11089.5166,0,1843262,1628185,176317,38759,0,2307888.3476,721335.8732,367675.7724,5364.1772
"764","Africa","Y1992",634064.1931,481372.0038,149392.0225,3300.1668,0,116649.1743,116504.6535,6.6624,137.8584,0,110670.153,66965.4996,35604.53,8100.1234,0,58085.3669,41246.4075,79.3283,11590.1072,5169.524,82016.0752,0,74406.6013,7609.4739,0,41186.7691,0,NA,41186.7691,0,578389.2402,0,299747.2934,278641.9468,0,1877172.732,1662096.615,176316.6777,38759.4387,0,-33911.1918,-33911.1918,0,0,0,861383.5204,664842.1569,185003.215,11538.1486,0,1843262,1628185,176317,38759,0,2334273.9876,735553.1156,389325.8843,5169.524
"1145","Africa","Y1993",629766.2899,473999.2566,152423.1466,3343.8867,0,116310.3476,116157.7762,6.5605,146.011,0,118430.4532,72012.8276,37756.332,8661.2936,0,57605.7685,40958.5244,83.465,11657.6517,4906.1274,84801.4759,0,76957.4898,7843.9861,0,23963.4136,0,NA,23963.4136,0,578990.5336,0,299072.76,279917.7737,0,1875595.348,1660519.232,176316.6777,38759.4387,0,-32333.8082,-32333.8082,0,0,0,864507.0908,662169.8604,190186.0391,12151.1913,0,1843262,1628185,176317,38759,0,2331313.8086,742616.4316,374293.4551,4906.1274
"1526","Africa","Y1994",620363.8634,465786.6209,150210.6541,4366.5885,0,118201.438,118042.609,6.705,152.1241,0,121597.1465,72998.8213,39687.5209,8910.8043,0,57879.107,41082.95,96.9226,12128.6457,4570.5887,87579.1809,0,79526.737,8052.4439,0,27290.7326,0,NA,27290.7326,0,586133.4285,0,303847.2297,282286.1988,0,1875568.461,1660492.344,176316.6777,38759.4387,0,-32306.9206,-32306.9206,0,0,0,860162.448,656828.0512,189904.88,13429.5168,0,1843262,1628185,176317,38759,0,2326096.4246,749692.447,381946.9766,4570.5887
"1907","Africa","Y1995",658421.9613,492819.9597,161024.2795,4577.7221,0,123963.9806,123798.8598,7.1486,157.9722,0,124641.5762,74558.0603,40877.8116,9205.7043,0,58831.5362,42480.9793,103.4274,12120.6301,4126.4995,90083.3459,0,81748.9281,8334.4179,0,30081.2298,0,NA,30081.2298,0,595586.8687,0,309119.9432,286466.9255,0,1875532.081,1660455.965,176316.6777,38759.4387,0,-32270.5411,-32270.5411,0,0,0,907027.5181,691176.8798,201909.2397,13941.3986,0,1843262,1628185,176317,38759,0,2361843.283,769198.2161,389704.0406,4126.4995
"2288","Africa","Y1996",698274.4991,520751.9066,172698.8318,4823.7607,0,127982.4363,127815.6367,7.1213,159.6784,0,124817.2413,73908.4448,41578.5086,9330.2878,0,63285.0617,47817.7447,102.2995,10360.9225,5004.095,93229.9494,0,84637.208,8592.7414,0,26204.3079,0,NA,26204.3079,0,602720.8746,0,312104.5287,290616.3459,0,1935675.591,1698076.033,193957.6229,43641.9352,0,-32223.6068,-32223.6068,0,0,0,951074.1767,722475.988,214284.4618,14313.7269,0,1903452,1665852,193958,43642,0,2436146.159,805086.1208,393729.9798,5004.095
"2669","Africa","Y1997",709902.9477,533421.9415,171599.5183,4881.4879,0,131293.8883,131117.3778,7.2028,169.3077,0,126271.6335,74883.0442,41975.7879,9412.8014,0,65739.5927,50610.7256,110.1644,10068.2847,4950.4179,95882.5383,0,87075.6579,8806.8804,0,24829.404,0,NA,24829.404,0,610309.355,0,318267.7734,292041.5816,0,1907557.431,1665340.807,195479.1494,46737.4752,0,-32164.9216,-32164.9216,0,0,0,967468.4695,739422.3634,213582.509,14463.5971,0,1875393,1633176,195479,46737,0,2423208.9745,814515.2541,396947.2229,4950.4179
"3050","Africa","Y1998",721966.3491,545006.5353,171959.3165,5000.4973,0,138876.4878,138694.3697,7.2616,174.8566,0,125966.1899,74216.6961,42256.1479,9493.3459,0,65121.5186,50168.3669,120.0164,9856.834,4976.3014,99325.5621,0,90183.9936,9141.5685,0,24718.472,0,NA,24718.472,0,644803.2528,0,334422.9694,310380.2834,0,1989243.256,1705998.334,226107.5092,57137.4132,0,-32093.1353,-32093.1353,0,0,0,986809.0269,757917.6012,214222.7259,14668.6997,0,1957150,1673905,226108,57137,0,2481991.1667,865057.2146,425903.2709,4976.3014
"3431","Africa","Y1999",709221.45,530513.2003,173783.9876,4924.2621,0,145628.5898,145422.3309,7.3157,198.9432,0,128648.0481,76419.4219,42545.7138,9682.9124,0,66050.7317,52022.7758,126.0923,8521.9388,5379.9247,102428.3021,0,93053.9527,9374.3494,0,22818.5066,0,NA,22818.5066,0,645219.4355,0,337214.3686,308005.0669,0,1907479.561,1650507.462,204963.3361,52008.7626,0,-32006.7179,-32006.7179,0,0,0,983498.088,752354.9532,216337.0171,14806.1177,0,1875473,1618501,204963,52009,0,2422878.473,851694.7668,415534.742,5379.9247
"3812","Africa","Y2000",735815.5065,549756.2228,181084.918,4974.3657,0,149847.3629,149613.0213,10.0145,224.3271,0,129408.5489,76431.5,42942.4594,10034.5896,0,66753.6309,53462.7933,137.7274,7504.3946,5648.7156,105335.9561,0,95682.5623,9653.3938,0,24796.5808,0,NA,24796.5808,0,652455.64,0,340438.2726,312017.3674,0,1894723.455,1662189.967,188581.756,43951.7315,0,-31903.9283,-31903.9283,0,0,0,1015071.418,775800.7441,224037.3919,15233.2823,0,1862820,1630286,188582,43952,0,2459549.5761,848877.7102,413156.7505,5648.7156
"4193","Africa","Y2001",718754.5179,532609.6223,181110.6761,5034.2195,0,154089.3404,153864.2547,8.401,216.6847,0,138837.0435,85210.2,43453.4284,10173.4152,0,70032.9355,56464.2918,154.0259,7552.5547,5862.063,108647.4688,0,98788.4041,9859.0647,0,26043.329,0,NA,26043.329,0,661208.4599,0,345087.8391,316120.6208,0,1722674.808,1536320.159,153594.3476,32760.3012,0,-27395.3111,-27395.3111,0,0,0,1011680.902,771684.077,224572.5054,15424.3194,0,1695279,1508925,153594,32760,0,2337073.2167,822197.1222,407760.1898,5862.063
"4574","Africa","Y2002",725526.1395,543979.4999,176379.2059,5167.4336,0,159759.3902,159524.2265,7.5259,227.6378,0,143956.4359,89303,44323.6904,10329.7455,0,72980.9595,59262.8359,164.3673,7551.8816,6001.8748,111648.972,0,101570.9601,10078.0119,0,24058.0835,0,NA,24058.0835,0,671267.9606,0,350942.4412,320325.5194,0,1845989.694,1634929.708,175951.9285,35108.0577,0,-27767.6676,-27767.6676,0,0,0,1029241.966,792806.7264,220710.4223,15724.817,0,1818222,1607162,175952,35108,0,2459231.6027,849340.1193,412846.371,6001.8748
"4955","Africa","Y2003",779631.651,583278.4818,190911.0695,5442.0997,0,167627.9844,167388.7107,8.3501,230.9236,0,148195.4052,92709.3,45027.8674,10458.2378,0,74431.5161,60047.9821,175.146,7839.5056,6368.8824,114751.2023,0,104397.317,10353.8853,0,22836.0019,0,NA,22836.0019,0,699198.9774,0,363682.3127,335516.6647,0,1754766.044,1559349.815,161054.6158,34361.613,0,-28195.3391,-28195.3391,0,0,0,1095455.041,843376.4925,235947.287,16131.2611,0,1726571,1531154,161055,34362,0,2434578.9505,865256.6785,427038.9316,6368.8824
"5336","Africa","Y2004",807857.864,606566.1362,195659.5914,5632.1364,0,178273.5832,178047.2147,6.9567,219.4118,0,155453.3517,98738.97,45831.8958,10882.4859,0,79345.646,64124.2387,182.0857,8018.4467,7020.8748,117921.6494,0,107353.5768,10568.0726,0,23532.3426,0,NA,23532.3426,0,701492.1151,0,366186.4688,335305.6464,0,1819065.347,1606598.851,175405.5302,37060.9665,0,-28684.5256,-28684.5256,0,0,0,1141584.799,883352.3209,241498.4439,16734.0341,0,1790381,1577914,175406,37061,0,2525390.885,890626.1054,431219.5089,7020.8748
"5717","Africa","Y2005",831143.3654,620243.7786,205160.79,5738.7968,0,185570.3697,185352.0125,6.8938,211.4634,0,165446.7122,107128.3,46859.8638,11458.5483,0,82432.5233,66612.3929,174.1714,8005.5935,7640.3656,121009.9776,0,110224.9266,10785.051,0,25410.2671,0,NA,25410.2671,0,737645.7265,0,383654.9246,353990.8019,0,1889434.471,1655509.442,192801.8344,41123.1942,0,-29242.3183,-29242.3183,0,0,0,1182160.447,912724.0911,252027.5476,17408.8086,0,1860192,1626267,192802,41123,0,2605603.6077,938883.4046,456723.7162,7640.3656
"6098","Africa","Y2006",836912.6272,622925.9732,208244.0709,5742.5832,0,189546.4102,189331.4162,7.0394,207.9546,0,170699.8321,111235.94,47798.7495,11665.1426,0,86489.3416,71628.1998,186.7311,6558.708,8115.7027,124259.3658,0,113258.7194,11000.6464,0,40269.976,0,NA,40269.976,0,719287.3952,0,378070.6504,341216.7447,0,1820773.415,1614727.791,169192.6147,36853.0099,0,-146442.4418,-146442.4418,0,0,0,1197158.87,923493.3294,256049.8598,17615.6803,0,1674331,1468285,169193,36853,0,2463406.8784,916758.5754,453514.7654,8115.7027
"6479","Africa","Y2007",846738.2759,631022.6814,209796.0491,5919.5454,0,200228.2046,200003.375,7.2287,217.6009,0,173826.6674,113118.7,48725.1456,11982.8219,0,90046.164,73387.566,191.3296,7921.2102,8546.0582,124243.6653,0,113026.7446,11216.9207,0,67704.1135,0,NA,67704.1135,0,753236.2224,0,396887.2766,356348.9458,0,1819365.413,1617721.184,166121.9875,35522.2413,0,-147126.0355,-147126.0355,0,0,0,1220793.148,944144.7564,258528.4234,18119.9681,0,1672239,1470595,166122,35522,0,2488127.4709,934755.7617,496833.3997,8546.0582
"6860","Africa","Y2008",844238.8071,623545.5817,214645.9539,6047.2715,0,212540.8567,212311.4783,7.3733,222.005,0,182536.1504,120535.6,49753.9336,12246.6168,0,91220.644,74798.2584,195.8921,7305.6199,8920.8737,125844.5044,0,114411.6637,11432.8407,0,45430.9016,0,NA,45430.9016,0,778966.9768,0,409752.1555,369214.8213,0,1837949.804,1633062.962,169221.7204,35665.1218,0,-147842.7443,-147842.7443,0,0,0,1239315.814,956392.66,264407.2608,18515.8933,0,1690107,1485220,169222,35665,0,2516411.1361,957988.6925,487565.1986,8920.8737
"7241","Africa","Y2009",812286.0004,594970.5728,211320.3012,5995.1264,0,232356.9595,232125.5356,7.7761,223.6478,0,177123.3572,113433.6,51101.7793,12587.9779,0,92656.8943,75303.9314,203.1325,7873.9272,9275.9031,127664.7404,0,116015.9598,11648.7806,0,48816.1224,0,NA,48816.1224,0,766731.0874,0,405817.3819,360913.7055,0,1847019.84,1647173.372,166505.4751,33340.9929,0,-148596.1739,-148596.1739,0,0,0,1221766.317,940529.7084,262429.8567,18806.7521,0,1698424,1498577,166505,33341,0,2514410.8379,950971.8059,481400.2807,9275.9031
"7622","Africa","Y2010",838305.0765,614781.9539,217549.0715,5974.0511,0,213737.8157,213526.42,7.349,204.0467,0,168745.6101,104107.9,51799.2964,12838.4137,0,101301.8981,82162.3533,210.3723,9225.1918,9703.9807,129316.8647,0,117452.1535,11864.7113,0,48421.9111,0,NA,48421.9111,0,794508.7356,0,418846.197,375662.5386,0,1805395.727,1605886.304,163998.8695,35510.5539,0,-149390.541,-149390.541,0,0,0,1220788.502,932416.2739,269355.717,19016.5115,0,1656005,1456496,163999,35511,0,2471074.3902,969863.3092,499701.4182,9703.9807
"219","Asia","Y1990",4282278.769,3772171.617,491024.1237,19083.028,0,780493.3365,778261.1507,100.9507,2131.2351,0,1213064.76,992398.9053,178691.1421,41974.7126,0,604486.5313,516609.3899,816.6049,29288.1335,57772.4029,424559.1912,15413.5609,367505.9665,41639.6638,0,105124.2767,42600,2835,59689.2767,0,1715570.633,0,1064540.489,651030.1443,0,1969697.729,1894703.06,60846.139,14148.5299,0,-1136669.961,-1136669.961,0,0,0,6275836.865,5542831.673,669816.2165,63188.9757,0,833028,758033,60846,14149,0,6875487.7228,2166360.4159,858984.7239,57772.4029
"600","Asia","Y1991",4499563.732,3981100.933,498501.6538,19961.1455,0,824285.9318,821907.5111,110.3444,2268.0763,0,1222060.337,1001455.071,178039.9757,42565.2909,0,636830.8401,543150.6162,882.8389,30788.9057,62008.4792,435999.1685,15923.9875,377565.4197,42509.7612,0,138922.8089,42600,2835,93487.8089,0,1726848.418,0,1067579.3,659269.1181,0,1979118.906,1904124.237,60846.139,14148.5299,0,-1146091.138,-1146091.138,0,0,0,6545910.001,5804463.515,676651.9739,64794.5127,0,833028,758033,60846,14149,0,7164171.2178,2186360.6715,904998.6365,62008.4792
"981","Asia","Y1992",5102937.554,4489610.635,591035.2103,22291.7084,0,904034.6112,901253.9596,128.6857,2651.9659,0,1353717.639,1136754.385,172904.2609,44058.993,0,723372.2152,617639.2888,964.6289,35799.2713,68969.0262,460440.0965,16443.032,398550.1384,45446.9261,0,144286.7753,42600,2835,98851.7753,0,1822662.544,0,1115711.161,706951.3828,0,1990358.846,1915170.559,60953.0441,14235.2422,0,-1166501.719,-1166501.719,0,0,0,7360689.804,6527618.98,764068.1569,69002.6674,0,823857,748669,60953,14235,0,7952970.1404,2343082.1293,970287.265,68969.0262
"1362","Asia","Y1993",5350199.072,4719960.681,606947.0679,23291.324,0,963821.3167,960796.5281,141.9463,2882.8422,0,1354693.863,1138895.365,171713.6746,44084.8235,0,777096.3751,665346.7524,974.8892,35247.4124,75527.3211,472705.8932,16968.8683,409376.1223,46360.9027,0,116363.8506,42600,2835,70928.8506,0,1817597.57,0,1118854.378,698743.1913,0,2000423.043,1925234.757,60953.0441,14235.2422,0,-1176562.353,-1176562.353,0,0,0,7668714.252,6819652.573,778802.6889,70258.9897,0,823861,748672,60953,14235,0,8293240.5988,2371796.1224,935774.5889,75527.3211
"1743","Asia","Y1994",5661814.536,5012522.762,623492.1049,25799.6697,0,1006693.219,1003719.69,139.1355,2834.3936,0,1341642.791,1133200.995,164507.7323,43934.0642,0,819986.3257,708550.6952,1020.1969,35224.534,75190.8996,487149.7099,17499.8299,421396.1493,48253.7308,0,140531.9494,42600,2835,95096.9494,0,1847366.81,0,1130597.774,716769.0364,0,2010829.327,1935641.04,60953.0441,14235.2422,0,-1186965.101,-1186965.101,0,0,0,8010150.546,7149443.446,788138.9727,72568.1275,0,823864,748676,60953,14235,0,8666769.9111,2404941.137,982147.6203,75190.8996
"2124","Asia","Y1995",6014822.223,5329386.311,657237.3247,28198.5873,0,1063268.339,1059918.342,147.4976,3202.4994,0,1380997.196,1167595.831,168655.5815,44745.7833,0,927369.0022,795923.8133,1088.3533,40348.4514,90008.3841,502200.1678,18033.1935,434570.381,49596.5934,0,113579.5329,42600,2835,68144.5329,0,1904954.836,0,1147475.589,757479.2471,0,2021595.504,1946407.218,60953.0441,14235.2422,0,-1197727.77,-1197727.77,0,0,0,8459087.758,7556900.484,826040.4039,76146.87,0,823868,748679,60953,14235,0,9162136.9388,2472962.7712,1005950.937,90008.3841
"2505","Asia","Y1996",6328695.678,5618704.338,680390.2433,29601.0965,0,1089688.103,1086395.679,159.0591,3133.3643,0,1409399.802,1192130.388,170535.4702,46733.9434,0,869341.3261,738810.4706,1175.0007,42071.5335,87284.3214,517339.1396,18570.3916,447614.9261,51153.8219,0,112772.3774,42600,2835,67337.3774,0,1941463.312,0,1159298.002,782165.3104,0,1886243.123,1849750.587,28313.9624,8178.5734,0,-1208869.425,-1208869.425,0,0,0,8827783.582,7897230.405,851084.7726,79468.4043,0,677374,640881,28314,8179,0,9338092.4292,2490321.6638,1030375.0208,87284.3214
"2886","Asia","Y1997",6427588.948,5705197.817,692153.2183,30237.9124,0,1123650.634,1120052.339,167.7481,3430.5474,0,1363681.41,1153194.779,163065.7882,47420.8432,0,896248.68,760907.9509,1315.6442,44231.6562,89793.4286,532037.8631,19110.3146,460692.0813,52235.4673,0,250463.3744,42600,2835,205028.3744,0,1934868.226,0,1158496.532,776371.6938,0,2835236.377,2553267.995,235395.2736,46573.1085,0,-1220410.503,-1220410.503,0,0,0,8914920.993,7978444.935,855386.7547,81089.303,0,1614826,1332857,235395,46573,0,10133920.6925,2714121.2857,1205529.6032,89793.4286
"3267","Asia","Y1998",6536999.241,5815473.74,690514.4257,31011.0748,0,1136002.625,1131668.392,172.2791,4161.9537,0,1267764.707,1070324.978,150271.3113,47168.4183,0,880198.2448,744101.2158,1350.988,47074.2743,87671.7667,546987.7907,19641.168,474854.3182,52492.3046,0,129429.0994,42600,2835,83994.0994,0,1939285.68,0,1157917.674,781368.0058,0,2118253.524,2001895.714,90619.4454,25738.3647,0,-1232372.94,-1232372.94,0,0,0,8940766.573,8017467.11,840958.0161,82341.4468,0,885881,769523,90619,25738,0,9593332.2678,2568535.4417,1073008.4956,87671.7667
"3648","Asia","Y1999",6569620.728,5841886.234,695091.9975,32642.4972,0,1179270.352,1174790.806,177.4092,4302.1364,0,1317381.695,1120159.06,149101.1953,48121.4395,0,916780.6827,771462.8161,1374.3093,43825.9439,100117.6133,562472.547,20187.8574,488486.747,53797.9426,0,113636.2892,42600,2835,68201.2892,0,1973838.816,0,1175830.133,798008.6824,0,1966620.73,1912764.81,41806.1379,12049.7818,0,-1244780.307,-1244780.307,0,0,0,9066272.774,8136836.099,844370.602,85066.0731,0,721840,667985,41806,12050,0,9639071.2765,2554702.9292,1060949.713,100117.6133
"4029","Asia","Y2000",6764543.111,5999793.152,730361.4504,34388.5085,0,1207790.919,1202572.13,159.9527,5058.8358,0,1311491.12,1118385.7,145165.31,47940.1102,0,935808.7845,794744.3461,1526.5531,49723.7137,89814.1716,577593.4629,20740.5771,502293.8152,54559.0706,0,105708.9433,42600,2835,60273.9433,0,1955136.256,0,1171735.651,783400.6046,0,1900652.28,1872272.269,21185.2647,7194.7466,0,-1257657.972,-1257657.972,0,0,0,9283825.15,8320750.982,875686.7132,87387.4545,0,642994,614614,21185,7195,0,9793450.2022,2575262.9971,1042539.5333,89814.1716
"4410","Asia","Y2001",6860198.827,6075545.126,749321.355,35332.346,0,1233334.292,1227946.696,162.9572,5224.6391,0,1316544.373,1123784.3,144485.1734,48274.8993,0,988747.6377,842059.8286,1565.9794,50073.9279,95047.9019,594915.3969,21278.8037,518222.4122,55414.181,0,116037.5904,42600,2835,70602.5904,0,1962342.023,0,1171753.1,790588.9235,0,1135693.766,1119108.707,13254.2128,3330.8455,0,-341772.0968,-341772.0968,0,0,0,9410077.492,8427276.122,893969.4856,88831.8844,0,793922,777337,13254,3331,0,10110551.3645,2601600.19,1058842.3527,95047.9019
"4791","Asia","Y2002",7239795.503,6403280.13,798112.3941,38402.9787,0,1293979.615,1288099.512,175.8288,5704.2738,0,1353913.523,1162780,142451.4703,48682.0527,0,1044287.25,898128.7437,1626.6126,39440.7539,105091.1393,612432.604,21825.321,534610.1146,55997.1684,0,142230.0591,42600,2835,96795.0591,0,1952573.134,0,1169256.941,783316.1929,0,1486523.071,1380894.376,89239.752,16388.9427,0,-338986.8213,-338986.8213,0,0,0,9887688.641,8854159.642,940739.6933,92789.3052,0,1147536,1041908,89240,16389,0,10858621.2614,2738308.1134,1084727.4222,105091.1393
"5172","Asia","Y2003",7964430.445,7028097.713,894300.1693,42032.5632,0,1335476.675,1328929.601,188.2638,6358.8102,0,1390409.573,1197632.3,144232.3872,48544.8861,0,1142492.75,982020.0725,1740.4241,40881.028,117851.2249,628402.6296,22475.5731,548782.7594,57144.2971,0,117744.4814,42600,2835,72309.4814,0,1975592.502,0,1179451.268,796141.2337,0,1208709.493,1168582.603,32236.8039,7890.0862,0,-336189.1498,-336189.1498,0,0,0,10690316.69,9554659.614,1038720.82,96936.2595,0,872520,832393,32237,7890,0,11434148.7128,2803767.0757,1071302.3859,117851.2249
"5553","Asia","Y2004",8926563.828,7889835.816,988910.2629,47817.7496,0,1413228.061,1407623.895,179.6653,5424.5009,0,1445608.87,1248795.1,146394.0788,50419.6907,0,1233821.647,1062903.286,1887.5425,41238.2594,127792.559,644189.4554,23031.8959,563325.416,57832.1435,0,131303.2083,42600,2835,85868.2083,0,2033531.177,0,1205873.101,827658.0767,0,1402037.956,1300987.71,82077.9111,18972.3345,0,-333379.1489,-333379.1489,0,0,0,11785400.76,10546254.81,1135484.007,103661.9412,0,1068659,967609,82078,18972,0,12642398.554,2991482.9776,1135230.9636,127792.559
"5934","Asia","Y2005",9612352.77,8491708.507,1068931.757,51712.5064,0,1451878,1445814.199,188.8041,5874.9968,0,1487153.133,1286266.9,150120.6075,50765.6252,0,1324847.146,1145325.484,1972.197,41121.5462,136427.9185,656708.6695,23588.951,574591.3424,58528.3761,0,138361.637,42600,2835,92926.637,0,2081155.37,0,1235720.945,845434.4248,0,1255757.635,1200133.86,45352.7308,10271.044,0,-330556.8959,-330556.8959,0,0,0,12551383.9,11223789.61,1219241.168,108353.1284,0,925201,869577,45353,10271,0,13304881.0051,3079713.3838,1156635.1565,136427.9185
"6315","Asia","Y2006",10389501.69,9194784.188,1138403.531,56313.9749,0,1509577.973,1503208.48,197.2744,6172.219,0,1511868.895,1310090.8,150133.2657,51644.829,0,1448202.393,1254919.204,2063.0801,41192.3669,150027.7427,671677.8637,23930.912,588540.5914,59206.3602,0,177618.318,42600,2835,132183.318,0,2135713.276,0,1263658.259,872055.0169,0,1510733.715,1376178.177,112579.4791,21976.0593,0,-282919.1846,-282919.1846,0,0,0,13410948.56,12008083.47,1288734.071,114131.023,0,1227815,1093259,112579,21976,0,14422792.5764,3258410.4807,1240744.1442,150027.7427
"6696","Asia","Y2007",11047236.54,9799524.402,1187236.494,60475.6473,0,1586283.146,1579422.68,211.8335,6648.6329,0,1548521.93,1345334.4,151154.1133,52033.4169,0,1558781.412,1351779.404,2259.5377,40898.5226,163843.9475,687004.2005,24381.203,602721.0856,59901.9119,0,127362.8644,42600,2835,81927.8644,0,2174277.596,0,1284506.193,889771.4031,0,1080147.386,1039616.454,29659.0036,10871.9282,0,-278087.6438,-278087.6438,0,0,0,14182041.62,12724281.48,1338602.441,119157.6971,0,802060,761529,29659,10872,0,14904570.8992,3260583.2607,1202529.3273,163843.9475
"7077","Asia","Y2008",11930716.4,10588656.24,1276810.935,65249.2285,0,1459571.247,1454321.95,204.7814,5044.5159,0,1610927.472,1400033.2,160475.5277,50418.7442,0,1603881.853,1389784.887,2479.7566,35413.0439,176204.1659,699668.6964,24731.285,614339.7623,60597.6491,0,126477.3788,42600,2835,81042.3788,0,2203385.468,0,1302018.847,901366.621,0,1044654.853,1026037.505,13757.1348,4860.2132,0,-273150.3692,-273150.3692,0,0,0,15001215.12,13443011.39,1437491.244,120712.4885,0,771504,752887,13757,4860,0,15653014.6978,3372921.7448,1203992.3946,176204.1659
"7458","Asia","Y2009",12353418.71,10961619.24,1324017.388,67782.0849,0,1510866.026,1505391.15,216.5665,5258.3098,0,1614535.984,1401360.5,162292.63,50882.8541,0,1751315.986,1534762.925,2649.3855,32595.1872,181308.4889,714395.6327,25179.194,628010.9744,61205.4643,0,146390.2589,42600,2835,100955.2589,0,2235290.577,0,1309794.671,925495.9069,0,1341521.641,1243049.04,81364.1928,17108.4077,0,-268099.9109,-268099.9109,0,0,0,15478820.72,13868370.89,1486526.585,123923.2488,0,1073422,974949,81364,17108,0,16445862.1381,3511180.8082,1261283.4738,181308.4889
"7839","Asia","Y2010",13057101.53,11581811.21,1403488.227,71802.0954,0,1594642.038,1588758.351,230.194,5653.493,0,1668527.564,1451761.2,165186.1132,51580.2512,0,1911201.849,1681933.453,2819.0147,31880.7177,194568.6638,726914.3971,25526.163,639497.2369,61890.9972,0,141921.6547,42600,2835,96486.6547,0,2258576.814,0,1324998.24,933578.5739,0,1039307.322,1005426.734,24093.1245,9787.4632,0,-262927.5142,-262927.5142,0,0,0,16320271.13,14622330.76,1568904.534,129035.8396,0,776380,742499,24093,9787,0,17114889.5968,3563147.1503,1262660.2463,194568.6638
"111","Central America","Y1990",204842.6258,174996.9478,28264.9954,1580.6827,0,94888.1021,94732.0293,9.1869,146.8859,0,34993.1819,30453.0567,3299.8016,1240.3236,0,28655.475,23957.3727,29.6224,3708.7619,959.718,20713.4905,0,19063.7406,1649.7499,0,3704.3097,0,NA,3704.3097,0,107142.0368,0,62999.7798,44142.2569,0,136429.3146,132701.7097,2566.6478,1160.9571,0,-10008.8833,-10008.8833,0,0,0,334723.9098,300182.0338,31573.9838,2967.8922,0,126420,122693,2567,1161,0,446832.2329,116233.7745,57333.9277,959.718
"492","Central America","Y1991",199043.5961,178668.2086,18752.1763,1623.2111,0,101827.9814,101669.327,9.8694,148.7851,0,36171.5035,31551.8625,3332.0731,1287.568,0,29010.7651,24359.8431,28.4924,3644.6401,977.7896,21245.5902,0,19527.1276,1718.4626,0,4050.5127,0,NA,4050.5127,0,104041.5222,0,61468.6318,42572.8905,0,136474.1022,132746.4973,2566.6478,1160.9571,0,-10053.6709,-10053.6709,0,0,0,337043.081,311889.3981,22094.1188,3059.5642,0,126420,122693,2567,1161,0,458942.0676,105685.0184,56207.0272,977.7896
