"","Area","Year","Emissions.Energy (energy, manufacturing and construction industries and fugitive emissions)_7231","Emissions.Energy (energy, manufacturing and construction industries and fugitive emissions)_7194","Emissions.Energy (energy, manufacturing and construction industries and fugitive emissions)_7244","Emissions.Energy (energy, manufacturing and construction industries and fugitive emissions)_7243","Emissions.Energy (energy, manufacturing and construction industries and fugitive emissions)_7178","Emissions.Transport_7231","Emissions.Transport_7194","Emissions.Transport_7244","Emissions.Transport_7243","Emissions.Transport_7178","Emissions.Residential, commercial, institutional and AFF_7231","Emissions.Residential, commercial, institutional and AFF_7194","Emissions.Residential, commercial, institutional and AFF_7244","Emissions.Residential, commercial, institutional and AFF_7243","Emissions.Residential, commercial, institutional and AFF_7178","Emissions.Industrial processes and product use_7231","Emissions.Industrial processes and product use_7194","Emissions.Industrial processes and product use_7244","Emissions.Industrial processes and product use_7243","Emissions.Industrial processes and product use_7178","Emissions.Waste_7231","Emissions.Waste_7194","Emissions.Waste_7244","Emissions.Waste_7243","Emissions.Waste_7178","Emissions.Other sources_7231","Emissions.Other sources_7194","Emissions.Other sources_7244","Emissions.Other sources_7243","Emissions.Other sources_7178","Emissions.Agriculture total_7231","Emissions.Agriculture total_7194","Emissions.Agriculture total_7244","Emissions.Agriculture total_7243","Emissions.Agriculture total_7178","Emissions.Land use sources_7231","Emissions.Land use sources_7194","Emissions.Land use sources_7244","Emissions.Land use sources_7243","Emissions.Land use sources_7178","Emissions.Forest_7231","Emissions.Forest_7194","Emissions.Forest_7244","Emissions.Forest_7243","Emissions.Forest_7178","Emissions.Energy total_7231","Emissions.Energy total_7194","Emissions.Energy total_7244","Emissions.Energy total_7243","Emissions.Energy total_7178","Emissions.Land Use total_7231","Emissions.Land Use total_7194","Emissions.Land Use total_7244","Emissions.Land Use total_7243","Emissions.Land Use total_7178","CO2_7194","CH4_7244","N2O_7243","F_7178"
"2723","Northern America","Y1997",3750353.757,3400229.755,286933.2826,63190.7194,0,1759781.765,1752070.296,153.9981,7557.4706,0,755550.2967,741619.3131,7448.2266,6482.757,0,395774.3087,206640.9109,872.9024,52110.8057,136149.6898,191342.57,231.1028,181364.6132,9746.854,0,36394.219,4730,315,31349.219,0,408209.1543,0,193433.5447,214775.6096,0,300980.32,282491.1344,14895.2263,3593.9593,0,-600741.3086,-600741.3086,0,0,0,6265685.819,5893919.365,294535.5073,77230.947,0,-299761,-318250,14895,3594,0,5787271.2036,685416.7939,388807.3946,136149.6898
"3104","Northern America","Y1998",3849103.975,3500037.154,284482.7005,64584.1206,0,1800967.853,1793139.077,151.2178,7677.558,0,691620.9366,677834.5854,7682.5447,6103.8065,0,401865.3161,208803.5344,840.0678,37931.8011,154289.9128,182221.5517,228.5361,171976.4603,10016.5554,0,38680.8675,4730,315,33635.8675,0,410091.4147,0,193692.1354,216399.2793,0,406858.7585,357845.3966,38828.5274,10184.8345,0,-601258.3697,-601258.3697,0,0,0,6341692.765,5971010.817,292316.463,78365.4851,0,-194400,-243413,38829,10185,0,5941359.9138,697968.6539,386533.8229,154289.9128
"3485","Northern America","Y1999",3824652.908,3481525.924,278153.3409,64973.6423,0,1850870.533,1842919.746,147.1047,7803.6823,0,711739.3278,698353.9004,7459.2542,5926.1733,0,419118.7624,212013.1839,848.8122,34961.1363,171295.63,176905.4768,225.8203,166305.3924,10374.2641,0,37686.8654,4730,315,32641.8654,0,407160.2903,0,193144.1662,214016.1241,0,363266.2065,328345.8875,28220.121,6700.198,0,-601775.0611,-601775.0611,0,0,0,6387262.768,6022799.571,285759.6998,78703.4979,0,-238509,-273429,28220,6700,0,5966339.401,674593.1916,377397.0858,171295.63
"3866","Northern America","Y2000",3937508.242,3582634.93,277359.2626,77514.0495,0,1879484.686,1872937.977,124.2028,6422.5064,0,751525.2781,737611,7654.881,6259.3971,0,414669.7675,207866.5831,811.247,37022.2474,168969.6901,170886.0291,222.8263,160092.3651,10570.8377,0,37075.067,4730,315,32030.067,0,398376.8305,0,189974.4163,208402.4142,0,309130.0395,288059.0039,16701.4799,4369.5557,0,-602291.3831,-602291.3831,0,0,0,6568518.206,6193183.907,285138.3464,90195.9529,0,-293161,-314232,16701,4370,0,6091770.9372,653032.8547,382591.075,168969.6901
"4247","Northern America","Y2001",3853027.713,3497569.09,280791.3415,74667.2817,0,1877379.994,1871038.547,120.2371,6221.2094,0,733092.6803,720115,6609.5483,6368.132,0,403397.3422,190798.2001,750.1137,32800.1809,179048.8476,165729.1906,219.8508,154829.2118,10680.128,0,35482.9795,4730,315,30437.9795,0,398550.1709,0,189674.6603,208875.5107,0,252118.5882,236889.6533,12704.454,2524.481,0,-403824.7021,-403824.7021,0,0,0,6463500.387,6088722.637,287521.1269,87256.623,0,-151706,-166935,12704,2524,0,6117535.6391,645794.5667,372574.9032,179048.8476
"4628","Northern America","Y2002",3859692.72,3509762.99,277312.0761,72617.6537,0,1933565.404,1927026.838,124.8799,6413.6859,0,735015.9671,723419,5746.5628,5850.4043,0,430790.3168,197084.6211,745.1165,34694.5871,198265.9921,167973.2021,216.8753,156896.9861,10859.3406,0,35012.048,4730,315,29967.048,0,399837.177,0,190558.3517,209278.8252,0,334436.7339,291302.8196,33256.9622,9876.9522,0,-403730.1203,-403730.1203,0,0,0,6528274.091,6160208.828,283183.5187,84881.7439,0,-69293,-112427,33257,9877,0,6249813.0237,664955.9353,379558.497,198265.9921
"5009","Northern America","Y2003",3881973.028,3539054.35,272501.6947,70416.9834,0,1955765.566,1949260.58,123.3782,6381.6079,0,759678.7413,747125,7060.6551,5493.0861,0,440890.0918,191507.6512,717.1823,34101.434,214563.8242,174118.363,213.8998,162793.4219,11111.0413,0,35160.8636,4730,315,30115.8636,0,404099.2301,0,188668.4822,215430.7479,0,345479.8456,301264.8721,34809.3609,9405.6127,0,-403635.1553,-403635.1553,0,0,0,6597417.336,6235439.93,279685.728,82291.6774,0,-58155,-102370,34809,9406,0,6329521.1978,666989.1753,382456.3769,214563.8242
"5390","Northern America","Y2004",3902793.093,3566833.83,267363.5053,68595.7579,0,1977368.498,1970540.019,126.9918,6701.4869,0,754678.3692,741131,7077.2534,6470.1158,0,467892.0596,204075.6692,731.7234,32546.3211,230538.3459,172445.6093,209.9275,160937.6457,11298.0361,0,34639.1995,4730,315,29594.1995,0,407309.2788,0,190185.668,217123.6109,0,359617.91,312626.3195,37430.3612,9561.2293,0,-403539.8077,-403539.8077,0,0,0,6634839.96,6278504.849,274567.7505,81767.3606,0,-43922,-90913,37430,9561,0,6396606.9575,664168.1488,381890.7575,230538.3459
"5771","Northern America","Y2005",3897183.427,3576410.2,254979.0237,65794.2033,0,1995748.823,1988393.165,136.7262,7218.9317,0,734674.7445,720918,7240.7069,6516.0376,0,484417.1362,200931.6882,682.4731,32989.4716,249813.5032,174605.8837,206.9563,162913.7802,11485.1472,0,33444.8202,4730,315,28399.8202,0,408013.9623,0,192125.8271,215888.1352,0,335856.9753,296116.7575,31874.0317,7866.1861,0,-403444.0782,-403444.0782,0,0,0,6627606.994,6285721.365,262356.4569,79529.1725,0,-67587,-107327,31874,7866,0,6384262.6888,650267.5689,376157.9329,249813.5032
"6152","Northern America","Y2006",3845109.032,3524197.33,256245.1244,64666.5777,0,1988802.65,1981029.394,138.8049,7634.4508,0,677711.7756,663722,7164.3878,6825.3878,0,505281.6108,203594.7073,665.5893,29899.0499,271122.2643,176636.561,199.9703,164764.0793,11672.5114,0,32116.678,4730,315,27071.678,0,407605.9332,0,191567.965,216037.9682,0,297251.2694,255793.4451,31558.9532,9898.871,0,-464393.5037,-464393.5037,0,0,0,6511623.458,6168948.724,263548.3171,79126.4163,0,-167142,-208600,31559,9899,0,6168873.343,652419.9039,373706.4948,271122.2643
